noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,4,512,0.99,0,1,9,10,9.0,511,0,0.7086076806233572,0.7086076806233572,0.7086076806233572,56.888888888888886,[9],True,Depolarizing_d4_delta0.990
depolarizing,4,1024,0.01,0,1,10,11,10.0,1023,0,7.472907752603675e-06,7.472907752603675e-06,7.472907752603675e-06,102.4,[10],True,Depolarizing_d4_delta0.010
depolarizing,4,1024,0.1,0,1,10,11,10.0,1023,0,9.057874655593601e-05,9.057874655593601e-05,9.057874655593601e-05,102.4,[10],True,Depolarizing_d4_delta0.100
depolarizing,4,1024,0.5,0,1,10,11,10.0,1023,0,0.0016215999000387393,0.0016215999000387393,0.0016215999000387393,102.4,[10],True,Depolarizing_d4_delta0.500
depolarizing,4,1024,0.7,0,1,10,11,10.0,1023,0,0.00794371560711013,0.00794371560711013,0.00794371560711013,102.4,[10],True,Depolarizing_d4_delta0.700
depolarizing,4,1024,0.8,0,1,10,11,10.0,1023,0,0.026450772142705442,0.026450772142705442,0.026450772142705442,102.4,[10],True,Depolarizing_d4_delta0.800
depolarizing,4,1024,0.9,0,1,10,11,10.0,1023,0,0.1626042576269678,0.1626042576269678,0.1626042576269678,102.4,[10],True,Depolarizing_d4_delta0.900
depolarizing,4,1024,0.95,0,1,10,11,10.0,1023,0,0.4347155416510522,0.4347155416510522,0.4347155416510522,102.4,[10],True,Depolarizing_d4_delta0.950
depolarizing,4,1024,0.99,0,1,10,11,10.0,1023,0,0.6995077208410723,0.6995077208410723,0.6995077208410723,102.4,[10],True,Depolarizing_d4_delta0.990
depolarizing,8,8,0.01,0,1,3,4,3.0,7,0,0.001113147777364168,0.001113147777364168,0.001113147777364168,2.6666666666666665,[3],True,Depolarizing_d8_delta0.010
depolarizing,8,8,0.1,0,1,3,4,3.0,7,0,0.013138035355599584,0.013138035355599584,0.013138035355599584,2.6666666666666665,[3],True,Depolarizing_d8_delta0.100
depolarizing,8,8,0.5,0,1,3,4,3.0,7,0,0.16580981967897823,0.16580981967897823,0.16580981967897823,2.6666666666666665,[3],True,Depolarizing_d8_delta0.500
depolarizing,8,8,0.7,0,1,3,4,3.0,7,0,0.3938558059151294,0.3938558059151294,0.3938558059151294,2.6666666666666665,[3],True,Depolarizing_d8_delta0.700
